80314704, YTTERÖN, Outdoor furniture, 99.0, No old price, true, https://www.ikea.com/sa/en/p/ytteroen-seat-back-cushion-outdoor-blue-80314704/, false,         Seat/back cushion outdoor          92x50 cm, IKEA of Sweden, 0, 0, 50
70319288, YTTERÖN, Outdoor furniture, 27.0, No old price, true, https://www.ikea.com/sa/en/p/ytteroen-chair-cushion-outdoor-blue-70319288/, false,         Chair cushion outdoor          35 cm, IKEA of Sweden, 0, 0, 0
20314698, YTTERÖN, Outdoor furniture, 39.0, No old price, true, https://www.ikea.com/sa/en/p/ytteroen-chair-cushion-outdoor-blue-20314698/, false,         Chair cushion outdoor          40x40 cm, IKEA of Sweden, 40, 0, 40
80346583, YPPERLIG, Tables & desks, 995.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-table-ash-80346583/, false,         Table          200x90 cm, HAY, 0, 74, 90
69297292, YPPERLIG / NILSOVE, Chairs, 2575.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-nilsove-table-and-4-chairs-ash-rattan-white-s69297292/, false,         Table and 4 chairs          200x90 cm, HAY/A Fredriksson/J Hultqvist/W Chong, 0, 0, 90
69297292, YPPERLIG / NILSOVE, Tables & desks, 2575.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-nilsove-table-and-4-chairs-ash-rattan-white-s69297292/, false,         Table and 4 chairs          200x90 cm, HAY/A Fredriksson/J Hultqvist/W Chong, 0, 0, 90
90346592, YPPERLIG, Tables & desks, 245.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-coffee-table-dark-grey-birch-90346592/, false,         Coffee table          50 cm, HAY, 0, 0, 40
69260081, YPPERLIG, Children's furniture, 665.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-childrens-table-with-2-benches-s69260081/, false,         Children's table with 2 benches, HAY, 0, 56, 62
69260081, YPPERLIG, Tables & desks, 665.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-childrens-table-with-2-benches-s69260081/, false,         Children's table with 2 benches, HAY, 0, 56, 62
40348664, YPPERLIG, Children's furniture, 275.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-childrens-table-beech-dark-red-40348664/, false,         Children's table          74x62 cm, HAY, 0, 51, 62
40348664, YPPERLIG, Tables & desks, 275.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-childrens-table-beech-dark-red-40348664/, false,         Children's table          74x62 cm, HAY, 0, 51, 62
50348668, YPPERLIG, Chairs, 195.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-childrens-bench-beech-dark-red-50348668/, false,         Children's bench          65x35 cm, HAY, 0, 56, 35
50348668, YPPERLIG, Children's furniture, 195.0, No old price, true, https://www.ikea.com/sa/en/p/ypperlig-childrens-bench-beech-dark-red-50348668/, false,         Children's bench          65x35 cm, HAY, 0, 56, 35
417635, YNGVAR, Café furniture, 399.0, No old price, true, https://www.ikea.com/sa/en/p/yngvar-chair-red-00417635/, false,         Chair, IKEA of Sweden, 51, 71, 53
417635, YNGVAR, Chairs, 399.0, No old price, true, https://www.ikea.com/sa/en/p/yngvar-chair-red-00417635/, false,         Chair, IKEA of Sweden, 51, 71, 53
80417636, YNGVAR, Café furniture, 395.0, No old price, true, https://www.ikea.com/sa/en/p/yngvar-chair-anthracite-80417636/, false,         Chair, IKEA of Sweden, 51, 71, 53
80417636, YNGVAR, Chairs, 395.0, No old price, true, https://www.ikea.com/sa/en/p/yngvar-chair-anthracite-80417636/, false,         Chair, IKEA of Sweden, 51, 71, 53
60400745, YNGVAR, Bar furniture, 475.0, No old price, true, https://www.ikea.com/sa/en/p/yngvar-bar-stool-anthracite-60400745/, false,         Bar stool          75 cm, IKEA of Sweden, 40, 0, 40
60400745, YNGVAR, Café furniture, 475.0, No old price, true, https://www.ikea.com/sa/en/p/yngvar-bar-stool-anthracite-60400745/, false,         Bar stool          75 cm, IKEA of Sweden, 40, 0, 40
60400745, YNGVAR, Chairs, 475.0, No old price, true, https://www.ikea.com/sa/en/p/yngvar-bar-stool-anthracite-60400745/, false,         Bar stool          75 cm, IKEA of Sweden, 40, 0, 40
80331973, VUKU, Wardrobes, 49.0, No old price, true, https://www.ikea.com/sa/en/p/vuku-wardrobe-white-80331973/, false,         Wardrobe          74x51x149 cm, J Karlsson/W Chong, 51, 149, 74
70465538, VOLFGANG, Chairs, 175.0, No old price, false, https://www.ikea.com/sa/en/p/volfgang-stool-chrome-plated-gunnared-dark-grey-70465538/, false,         Stool, 704.655.38 You sit comfortably thanks to the restful flexibility of the seat.You sit comfortably thanks to the padded seat.Velvet.The velvet reflects light in a characteristic way which may make the colour appear as if it changes., 43, 85, 53
80404672, VOLFGANG, Chairs, 375.0, No old price, true, https://www.ikea.com/sa/en/p/volfgang-chair-chrome-plated-gunnared-medium-grey-80404672/, false,         Chair, 804.046.72 You sit comfortably thanks to the restful flexibility of the seat.You sit comfortably thanks to the padded seat.This chair has been tested for home use and meets the requirements for durability and safety set forth in the following standards: EN 12520 and EN 1022., 53, 90, 50
90402352, VOLFGANG, Chairs, 375.0, No old price, true, https://www.ikea.com/sa/en/p/volfgang-chair-chrome-plated-bomstad-black-90402352/, false,         Chair, IKEA of Sweden, 53, 90, 50
10448325, VITVAL, Beds, 295.0, No old price, true, https://www.ikea.com/sa/en/p/vitval-underbed-white-10448325/, false,         Underbed          90x200 cm, Tord Björklund, 0, 20, 90
69302566, VITVAL, Beds, 1195.0, No old price, true, https://www.ikea.com/sa/en/p/vitval-loft-bed-frame-with-desk-top-white-light-grey-s69302566/, false,         Loft bed frame with desk top          90x200 cm, IKEA of Sweden, 0, 195, 135
10411242, VITVAL, Beds, 995.0, No old price, true, https://www.ikea.com/sa/en/p/vitval-loft-bed-frame-white-light-grey-10411242/, false,         Loft bed frame          90x200 cm, IKEA of Sweden, 0, 195, 135
40411410, VITVAL, Beds, 200.0, No old price, true, https://www.ikea.com/sa/en/p/vitval-desk-top-white-40411410/, false,         Desk top          95x45 cm, IKEA of Sweden, 45, 73, 95
19302922, VITVAL, Beds, 1590.0, No old price, true, https://www.ikea.com/sa/en/p/vitval-bunk-bed-frame-with-underbed-white-light-grey-s19302922/, false,         Bunk bed frame with underbed          90x200 cm, IKEA of Sweden/Tord Björklund, 0, 162, 97
80411272, VITVAL, Beds, 1295.0, No old price, true, https://www.ikea.com/sa/en/p/vitval-bunk-bed-frame-white-light-grey-80411272/, false,         Bunk bed frame          90x200 cm, IKEA of Sweden, 0, 162, 97
99294560, VITTSJÖ, Bookcases & shelving units, 695.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s99294560/, false,         TV storage combination          202x36x175 cm, Johan Kroon, 36, 175, 202
99294560, VITTSJÖ, TV & media furniture, 695.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s99294560/, false,         TV storage combination          202x36x175 cm, Johan Kroon, 36, 175, 202
69294566, VITTSJÖ, Bookcases & shelving units, 1035.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s69294566/, false,         TV storage combination          300x36x175 cm, Johan Kroon, 36, 175, 300
69294566, VITTSJÖ, TV & media furniture, 1035.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s69294566/, false,         TV storage combination          300x36x175 cm, Johan Kroon, 36, 175, 300
70303428, VITTSJÖ, TV & media furniture, 245.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-bench-black-brown-glass-70303428/, false,         TV bench          100x36x53 cm, Johan Kroon, 36, 53, 100
89294532, VITTSJÖ, Bookcases & shelving units, 790.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s89294532/, false,         Storage combination          200x36x175 cm, Johan Kroon, 36, 175, 200
79294542, VITTSJÖ, Bookcases & shelving units, 640.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s79294542/, false,         Storage combination          200x36x175 cm, Johan Kroon, 36, 175, 200
59902658, VITTSJÖ, Bookcases & shelving units, 620.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s59902658/, false,         Storage combination          151x36x175 cm, Johan Kroon, 36, 175, 151
49294548, VITTSJÖ, Bookcases & shelving units, 1035.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s49294548/, false,         Storage combination          300x36x175 cm, Johan Kroon, 36, 175, 300
29294554, VITTSJÖ, Bookcases & shelving units, 695.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s29294554/, false,         Storage combination          202x36x175 cm, Johan Kroon, 36, 175, 202
9294526, VITTSJÖ, Bookcases & shelving units, 490.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s09294526/, false,         Storage combination          200x36x93 cm, Johan Kroon, 36, 93, 200
99902661, VITTSJÖ, Bookcases & shelving units, 609.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s99902661/, false,         Shelving unit with laptop table          202x36x175 cm, Johan Kroon, 36, 0, 202
99902661, VITTSJÖ, Tables & desks, 609.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s99902661/, false,         Shelving unit with laptop table          202x36x175 cm, Johan Kroon, 36, 0, 202
79902657, VITTSJÖ, Bookcases & shelving units, 554.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s79902657/, false,         Shelving unit with laptop table          200x36x175 cm, Johan Kroon, 36, 0, 200
79902657, VITTSJÖ, Tables & desks, 554.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s79902657/, false,         Shelving unit with laptop table          200x36x175 cm, Johan Kroon, 36, 0, 200
90305803, VITTSJÖ, Bookcases & shelving units, 245.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-black-brown-glass-90305803/, false,         Shelving unit          100x93 cm, Johan Kroon, 36, 93, 100
50214678, VITTSJÖ, Bookcases & shelving units, 225.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-black-brown-glass-50214678/, false,         Shelving unit          51x175 cm, Johan Kroon, 36, 175, 51
20213312, VITTSJÖ, Bookcases & shelving units, 395.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-black-brown-glass-20213312/, false,         Shelving unit          100x175 cm, Johan Kroon, 36, 175, 100
